Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,22,SAC,NBA,SF,74,11,1749,321,717,.448,100,267,.375,221,450,.491,.517,135,153,.882,74,202,276,106,52,7,88,97,877
2000-01,23,SAC,NBA,SF,75,75,2905,559,1189,.470,144,360,.400,415,829,.501,.531,267,312,.856,93,341,434,164,91,13,146,144,1529
2001-02,24,SAC,NBA,SF,71,71,2649,547,1130,.484,129,310,.416,418,820,.510,.541,283,323,.876,72,301,373,175,81,14,140,120,1506
2002-03,25,SAC,NBA,SF,72,72,2450,497,1034,.481,155,406,.382,342,628,.545,.556,231,264,.875,61,336,397,141,72,5,101,143,1380
2003-04,26,SAC,NBA,SF,81,81,3264,665,1386,.480,240,554,.433,425,832,.511,.566,394,425,.927,91,417,508,173,108,14,153,159,1964
2004-05,27,SAC,NBA,SF,66,66,2534,451,1016,.444,174,433,.402,277,583,.475,.530,253,275,.920,62,223,285,138,79,12,102,157,1329
2005-06,28,TOT,NBA,SF,71,71,2601,445,1018,.437,162,404,.401,283,614,.461,.517,238,260,.915,79,336,415,136,45,10,103,171,1290
2007-08,30,NOH,NBA,SF,77,77,2711,451,1026,.440,231,524,.441,220,502,.438,.552,130,140,.929,64,267,331,96,57,10,61,127,1263
2008-09,31,NOH,NBA,SF,61,59,2089,287,719,.399,145,384,.378,142,335,.424,.500,93,104,.894,44,220,264,75,52,3,51,101,812
2009-10,32,NOH,NBA,SF,62,55,1947,278,688,.404,132,352,.375,146,336,.435,.500,96,107,.897,39,188,227,92,48,5,56,83,784
