Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,21,TOT,NBA,SF,72,31,2086,345,876,.394,69,243,.284,276,633,.436,.433,147,222,.662,137,268,405,105,45,88,115,157,906
1995-96,22,GSW,NBA,SF,62,6,934,125,314,.398,28,94,.298,97,220,.441,.443,64,83,.771,65,148,213,49,22,31,48,83,342
1996-97,23,GSW,NBA,SF,61,20,1022,174,421,.413,35,111,.315,139,310,.448,.455,61,98,.622,92,184,276,54,25,46,55,96,444
1997-98,24,GSW,NBA,SF,73,73,2611,451,1090,.414,63,201,.313,388,889,.436,.443,158,216,.731,210,418,628,159,95,73,147,226,1123
1999-00,26,GSW,NBA,PF,64,51,2071,331,840,.394,49,138,.355,282,702,.402,.423,199,255,.780,189,448,637,167,68,68,123,180,910
2000-01,27,UTA,NBA,SF,81,49,2326,427,849,.503,41,128,.320,386,721,.535,.527,205,273,.751,172,394,566,133,85,78,128,196,1100
2001-02,28,UTA,NBA,SF,58,42,1750,343,661,.519,13,42,.310,330,619,.533,.529,160,226,.708,158,285,443,101,50,67,124,150,859
2002-03,29,CHI,NBA,PF,78,53,2378,421,918,.459,33,87,.379,388,831,.467,.477,167,221,.756,234,465,699,137,95,85,135,234,1042
2003-04,30,TOT,NBA,PF,82,74,2988,470,1020,.461,131,325,.403,339,695,.488,.525,134,182,.736,210,598,808,122,93,124,117,247,1205
2004-05,31,TOR,NBA,PF,65,2,1645,262,592,.443,151,363,.416,111,229,.485,.570,72,91,.791,95,333,428,81,57,46,42,136,747
2005-06,32,CLE,NBA,PF,81,0,2077,265,671,.395,128,395,.324,137,276,.496,.490,92,123,.748,105,387,492,60,59,41,90,160,750
2006-07,33,CLE,NBA,PF,81,0,1360,209,493,.424,95,271,.351,114,222,.514,.520,53,80,.663,86,237,323,46,39,43,67,130,566
