Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,18,POR,NBA,PF,45,0,458,69,153,.451,0,1,.000,69,152,.454,.451,47,78,.603,39,85,124,8,2,26,27,46,185
1997-98,19,POR,NBA,PF,60,9,808,112,231,.485,0,2,.000,112,229,.489,.485,45,89,.506,80,121,201,17,15,58,55,101,269
1999-00,21,POR,NBA,C,70,8,859,108,222,.486,0,1,.000,108,221,.489,.486,57,98,.582,97,132,229,18,11,55,47,127,273
2000-01,22,IND,NBA,C,81,80,2641,404,868,.465,0,5,.000,404,863,.468,.465,233,388,.601,249,545,794,98,49,228,161,280,1041
2001-02,23,IND,NBA,PF,72,72,2707,543,1133,.479,1,14,.071,542,1119,.484,.480,284,413,.688,188,569,757,118,45,166,174,269,1371
2002-03,24,IND,NBA,PF,77,76,2864,610,1260,.484,7,21,.333,603,1239,.487,.487,373,510,.731,202,594,796,155,66,178,180,277,1600
2003-04,25,IND,NBA,PF,78,78,2788,608,1400,.434,2,18,.111,606,1382,.438,.435,348,460,.757,193,585,778,164,59,199,181,248,1566
2004-05,26,IND,NBA,PF,44,41,1530,386,854,.452,1,6,.167,385,848,.454,.453,295,391,.754,85,303,388,82,25,88,131,173,1068
2005-06,27,IND,NBA,PF,51,47,1802,380,805,.472,3,10,.300,377,795,.474,.474,261,368,.709,102,374,476,133,27,117,151,177,1024
2006-07,28,IND,NBA,C,69,69,2459,498,1141,.436,0,7,.000,498,1134,.439,.436,343,447,.767,153,508,661,167,50,182,203,232,1339
2007-08,29,IND,NBA,C,42,34,1206,225,512,.439,0,5,.000,225,507,.444,.439,121,163,.742,82,201,283,93,20,87,106,129,571
2008-09,30,TOT,NBA,C,68,61,2027,365,770,.474,0,1,.000,365,769,.475,.474,175,222,.788,126,307,433,122,29,136,144,211,905
2009-10,31,MIA,NBA,C,70,70,1991,394,745,.529,0,2,.000,394,743,.530,.529,162,225,.720,124,362,486,92,25,95,125,212,950
2012-13,34,PHO,NBA,C,55,4,1029,179,371,.482,0,0,0,179,371,.482,.482,96,115,.835,82,211,293,42,19,78,73,126,454
2013-14,35,GSW,NBA,PF,44,13,883,125,248,.504,0,0,0,125,248,.504,.504,99,132,.750,85,157,242,25,14,40,52,102,349
