Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,22,SAC,NBA,SF,59,26,1673,358,823,.435,61,191,.319,297,632,.470,.472,224,302,.742,115,150,265,178,66,29,179,209,1001
1993-94,23,SAC,NBA,SF,57,4,1356,226,580,.390,38,132,.288,188,448,.420,.422,148,233,.635,71,164,235,132,52,23,145,200,638
1994-95,24,SAC,NBA,SF,77,77,2739,445,998,.446,103,296,.348,342,702,.487,.497,266,364,.731,100,245,345,316,123,63,243,265,1259
1995-96,25,TOT,NBA,SF,73,73,2169,359,808,.444,114,293,.389,245,515,.476,.515,163,232,.703,99,220,319,230,85,58,151,238,995
1996-97,26,TOR,NBA,SF,73,73,2647,419,982,.427,175,437,.400,244,545,.448,.516,186,243,.765,103,264,367,197,97,62,174,282,1199
1997-98,27,TOT,NBA,SF,59,17,1470,210,544,.386,80,219,.365,130,325,.400,.460,108,125,.864,50,150,200,122,59,35,92,161,608
1999-00,29,HOU,NBA,SF,76,66,1859,312,681,.458,102,261,.391,210,420,.500,.533,101,123,.821,69,237,306,157,49,44,113,190,827
2000-01,30,HOU,NBA,SF,72,31,1583,202,513,.394,98,248,.395,104,265,.392,.489,97,126,.770,31,214,245,97,30,28,73,153,599
2001-02,31,HOU,NBA,SF,48,25,1117,166,396,.419,78,183,.426,88,213,.413,.518,40,51,.784,37,125,162,69,18,10,53,106,450
2002-03,32,DAL,NBA,SF,66,1,1161,134,341,.393,64,171,.374,70,170,.412,.487,31,50,.620,53,154,207,59,42,26,35,141,363
