Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,22,PHO,NBA,SF,80,24,1602,255,457,.558,0,2,.000,255,455,.560,.558,171,254,.673,95,213,308,90,71,37,148,190,681
1986-87,23,PHO,NBA,SF,80,65,2250,290,497,.584,0,2,.000,290,495,.586,.584,257,348,.739,179,401,580,116,86,54,135,196,837
1987-88,24,SAC,NBA,PF,79,7,1177,179,343,.522,0,2,.000,179,341,.525,.522,133,178,.747,94,136,230,66,39,32,77,118,491
1988-89,25,TOT,NBA,PF,80,33,2012,319,622,.513,0,6,.000,319,616,.518,.513,280,350,.800,166,283,449,118,83,66,119,202,918
1989-90,26,BOS,NBA,PF,77,50,1082,135,249,.542,0,1,.000,135,248,.544,.542,92,119,.773,93,132,225,68,34,42,56,126,362
1990-91,27,BOS,NBA,PF,70,16,1165,131,243,.539,0,1,.000,131,242,.541,.539,104,116,.897,155,186,341,45,61,43,45,147,366
1991-92,28,BOS,NBA,PF,81,36,1917,203,378,.537,0,1,.000,203,377,.538,.537,207,255,.812,252,312,564,62,70,56,73,158,613
1993-94,30,BOS,NBA,PF,76,35,1524,151,289,.522,0,0,0,151,289,.522,.522,92,125,.736,160,318,478,62,58,44,62,131,394
1994-95,31,MIL,NBA,PF,62,17,835,48,97,.495,0,0,0,48,97,.495,.495,44,62,.710,65,146,211,21,34,17,26,64,140
1995-96,32,TOT,NBA,PF,74,47,1710,171,335,.510,0,3,.000,171,332,.515,.510,136,179,.760,189,269,458,72,64,28,77,156,478
