Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,21,LAC,NBA,C,79,37,2088,324,661,.490,1,3,.333,323,658,.491,.491,229,307,.746,161,439,600,79,64,206,145,286,878
1986-87,22,LAC,NBA,C,72,61,2230,320,713,.449,0,2,.000,320,711,.450,.449,188,263,.715,134,452,586,135,60,187,184,251,828
1987-88,23,LAC,NBA,C,66,59,2171,340,693,.491,0,8,.000,340,685,.496,.491,180,255,.706,112,418,530,172,50,225,223,203,860
1988-89,24,LAC,NBA,C,79,62,2585,491,907,.541,0,2,.000,491,905,.543,.541,317,426,.744,164,532,696,157,57,221,237,221,1299
1989-90,25,LAC,NBA,C,71,58,2313,362,688,.526,0,1,.000,362,687,.527,.526,235,321,.732,156,501,657,159,59,187,187,217,959
1990-91,26,TOT,NBA,C,70,65,2236,386,778,.496,0,0,0,386,778,.496,.496,210,295,.712,157,566,723,119,54,145,235,184,982
1990-91,26,LAC,NBA,C,39,38,1337,229,465,.492,0,0,0,229,465,.492,.492,123,169,.728,95,374,469,74,26,91,138,110,581
1990-91,26,SEA,NBA,C,31,27,899,157,313,.502,0,0,0,157,313,.502,.502,87,126,.690,62,192,254,45,28,54,97,74,401
1991-92,27,SEA,NBA,C,63,61,1941,354,740,.478,0,2,.000,354,738,.480,.478,171,249,.687,130,383,513,76,39,118,175,185,879
1992-93,28,TOT,NBA,C,59,6,754,133,271,.491,0,0,0,133,271,.491,.491,69,104,.663,51,158,209,22,31,48,78,134,335
1992-93,28,SEA,NBA,C,31,6,448,81,163,.497,0,0,0,81,163,.497,.497,47,67,.701,27,86,113,12,17,35,42,73,209
1992-93,28,LAL,NBA,C,28,0,306,52,108,.481,0,0,0,52,108,.481,.481,22,37,.595,24,72,96,10,14,13,36,61,126
1993-94,29,NJN,NBA,C,77,74,1817,283,589,.480,0,0,0,283,589,.480,.480,152,214,.710,135,364,499,44,35,90,97,198,718
1994-95,30,NJN,NBA,C,61,57,1598,271,531,.510,0,0,0,271,531,.510,.510,133,175,.760,94,346,440,38,23,64,125,151,675
1995-96,31,TOT,NBA,C,83,71,1896,294,590,.498,0,3,.000,294,587,.501,.498,140,194,.722,141,398,539,64,45,85,144,224,728
1995-96,31,VAN,NBA,C,13,13,404,71,161,.441,0,0,0,71,161,.441,.441,39,56,.696,31,72,103,16,10,15,34,40,181
1995-96,31,MIL,NBA,C,70,58,1492,223,429,.520,0,3,.000,223,426,.523,.520,101,138,.732,110,326,436,48,35,70,110,184,547
1996-97,32,TOR,NBA,C,4,3,44,5,12,.417,0,0,0,5,12,.417,.417,3,4,.750,3,6,9,1,1,0,2,5,13
1997-98,33,PHI,NBA,C,14,0,197,22,41,.537,0,0,0,22,41,.537,.537,19,30,.633,18,35,53,3,4,4,12,26,63
1998-99,34,PHI,NBA,C,6,0,33,2,7,.286,0,0,0,2,7,.286,.286,0,0,0,3,5,8,1,0,0,3,6,4
1999-00,35,CLE,NBA,C,3,0,8,1,3,.333,0,0,0,1,3,.333,.333,0,0,0,0,1,1,0,0,1,0,1,2
