Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,20,GSW,NBA,PF,38,6,376,62,112,.554,0,0,0,62,112,.554,.554,27,40,.675,38,61,99,9,6,22,13,36,151
2008-09,21,GSW,NBA,PF,39,23,688,130,246,.528,0,4,.000,130,242,.537,.528,63,85,.741,62,95,157,21,22,37,23,74,323
2009-10,22,Did Not Play(injuryshoulder)
2010-11,23,TOT,NBA,PF,37,2,379,60,117,.513,0,0,0,60,117,.513,.513,21,31,.677,31,58,89,12,11,17,14,34,141
2010-11,23,GSW,NBA,PF,21,1,195,38,63,.603,0,0,0,38,63,.603,.603,7,14,.500,14,27,41,5,3,10,10,19,83
2010-11,23,NJN,NBA,PF,16,1,184,22,54,.407,0,0,0,22,54,.407,.407,14,17,.824,17,31,48,7,8,7,4,15,58
2011-12,24,DAL,NBA,C,49,0,791,144,233,.618,0,1,.000,144,232,.621,.618,52,82,.634,62,112,174,13,22,63,21,61,340
2012-13,25,DAL,NBA,C,64,16,1149,241,404,.597,0,3,.000,241,401,.601,.597,59,96,.615,85,175,260,38,26,76,34,78,541
2013-14,26,DAL,NBA,C,58,0,1077,224,331,.677,0,0,0,224,331,.677,.677,77,106,.726,102,142,244,31,32,55,35,94,525
2014-15,27,TOT,NBA,PF,75,7,1449,233,363,.642,0,3,.000,233,360,.647,.642,78,112,.696,128,193,321,41,50,94,34,102,544
2014-15,27,DAL,NBA,PF,27,0,505,101,135,.748,0,0,0,101,135,.748,.748,36,48,.750,51,59,110,10,17,42,13,44,238
2014-15,27,BOS,NBA,PF,8,0,86,12,21,.571,0,0,0,12,21,.571,.571,2,4,.500,7,10,17,8,1,5,5,4,26
2014-15,27,PHO,NBA,PF,40,7,858,120,207,.580,0,3,.000,120,204,.588,.580,40,60,.667,70,124,194,23,32,47,16,54,280
