Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,22,POR,NBA,SG,45,20,827,116,261,.444,11,28,.393,105,233,.451,.466,50,73,.685,35,94,129,89,36,16,39,97,293
1995-96,23,POR,NBA,SG,81,73,2259,337,722,.467,38,117,.325,299,605,.494,.493,152,199,.764,86,218,304,205,92,21,135,205,864
1996-97,24,TOT,NBA,SG,83,11,1625,150,365,.411,41,103,.398,109,262,.416,.467,92,110,.836,40,181,221,161,77,22,90,130,433
1996-97,24,POR,NBA,SG,41,8,775,53,156,.340,23,55,.418,30,101,.297,.413,41,49,.837,13,80,93,84,34,15,48,61,170
1996-97,24,DET,NBA,SG,42,3,850,97,209,.464,18,48,.375,79,161,.491,.507,51,61,.836,27,101,128,77,43,7,42,69,263
1997-98,25,TOT,NBA,SG-SF,81,32,1813,139,381,.365,12,63,.190,127,318,.399,.381,42,55,.764,58,173,231,175,101,13,76,164,332
1997-98,25,DET,NBA,SF,24,1,472,43,104,.413,3,17,.176,40,87,.460,.428,20,23,.870,24,44,68,38,23,1,24,47,109
1997-98,25,PHI,NBA,SG,57,31,1341,96,277,.347,9,46,.196,87,231,.377,.363,22,32,.688,34,129,163,137,78,12,52,117,223
1998-99,26,PHI,NBA,SG,50,4,959,95,237,.401,6,31,.194,89,206,.432,.414,44,62,.710,27,113,140,100,63,3,57,90,240
1999-00,27,PHI,NBA,SG,82,14,1952,244,593,.411,44,121,.364,200,472,.424,.449,121,146,.829,47,199,246,240,108,18,113,194,653
2000-01,28,PHI,NBA,SG,76,33,2394,338,714,.473,53,170,.312,285,544,.524,.511,149,194,.768,33,278,311,377,106,8,203,178,878
2001-02,29,PHI,NBA,SG,48,16,1471,220,490,.449,51,128,.398,169,362,.467,.501,96,122,.787,26,166,192,179,56,14,93,74,587
2002-03,30,PHI,NBA,SF,80,40,2374,286,666,.429,37,112,.330,249,554,.449,.457,112,134,.836,61,289,350,278,131,9,109,177,721
2003-04,31,PHI,NBA,SF,75,41,2112,265,577,.459,75,172,.436,190,405,.469,.524,84,111,.757,45,208,253,195,85,23,103,142,689
2004-05,32,PHI,NBA,SG,68,3,1118,61,142,.430,20,62,.323,41,80,.513,.500,10,16,.625,20,152,172,103,48,17,31,116,152
2005-06,33,LAL,NBA,PG,14,0,121,3,12,.250,0,2,.000,3,10,.300,.250,1,2,.500,3,17,20,11,5,0,2,7,7
2006-07,34,LAL,NBA,SF,10,0,131,11,17,.647,0,0,0,11,17,.647,.647,0,0,0,1,17,18,13,4,0,8,14,22
