Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,24,MIA,NBA,C,8,0,45,5,16,.313,0,0,0,5,16,.313,.313,3,4,.750,2,8,10,0,0,0,5,10,13
2006-07,25,MIA,NBA,C,28,0,203,24,83,.289,0,1,.000,24,82,.293,.289,17,18,.944,19,22,41,5,6,4,11,21,65
2007-08,26,MIA,NBA,C,46,15,889,132,327,.404,1,13,.077,131,314,.417,.405,61,87,.701,67,131,198,29,19,8,48,114,326
2008-09,27,Did Not Play(
2009-10,28,NYK,NBA,C,7,6,232,30,68,.441,0,0,0,30,68,.441,.441,22,29,.759,31,46,77,8,4,4,11,24,82
2010-11,29,TOT,NBA,C,21,7,305,32,99,.323,0,0,0,32,99,.323,.323,15,24,.625,32,44,76,11,8,6,16,46,79
2010-11,29,PHO,NBA,C,12,6,183,12,51,.235,0,0,0,12,51,.235,.235,12,20,.600,16,24,40,4,6,4,11,32,36
2010-11,29,MIL,NBA,C,7,0,85,17,37,.459,0,0,0,17,37,.459,.459,2,2,1.000,12,10,22,4,2,2,2,10,36
2010-11,29,POR,NBA,C,2,1,37,3,11,.273,0,0,0,3,11,.273,.273,1,2,.500,4,10,14,3,0,0,3,4,7
2011-12,30,GSW,NBA,C,2,0,9,2,4,.500,0,0,0,2,4,.500,.500,0,0,0,1,0,1,0,0,0,0,5,4
2012-13,31,TOT,NBA,C,12,2,159,18,51,.353,0,0,0,18,51,.353,.353,3,7,.429,22,39,61,5,5,6,11,24,39
2012-13,31,WAS,NBA,C,11,1,122,13,37,.351,0,0,0,13,37,.351,.351,2,5,.400,16,27,43,3,5,5,10,23,28
2012-13,31,NYK,NBA,C,1,1,37,5,14,.357,0,0,0,5,14,.357,.357,1,2,.500,6,12,18,2,0,1,1,1,11
2013-14,32,Did Not Play
2014-15,33,PHO,NBA,C,16,1,143,12,39,.308,2,4,.500,10,35,.286,.333,6,12,.500,14,14,28,5,4,2,5,26,32
