Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1976-77,23,GSW,NBA,C,77,0,1384,288,573,.503,0,0,0,288,573,.503,.503,121,171,.708,201,342,543,74,55,94,0,224,697
1977-78,24,GSW,NBA,C,82,0,1969,430,911,.472,0,0,0,430,911,.472,.472,165,264,.625,211,469,680,95,79,123,201,291,1025
1978-79,25,GSW,NBA,C,76,0,2411,554,1110,.499,0,0,0,554,1110,.499,.499,196,281,.698,265,651,916,115,100,217,233,303,1304
1979-80,26,GSW,NBA,C,72,0,2119,510,1006,.507,0,1,.000,510,1005,.507,.507,203,284,.715,247,536,783,122,58,115,225,248,1223
1980-81,27,BOS,NBA,C,82,78,2298,635,1166,.545,0,1,.000,635,1165,.545,.545,282,397,.710,245,532,777,144,81,214,191,310,1552
1981-82,28,BOS,NBA,C,80,78,2534,669,1235,.542,0,0,0,669,1235,.542,.542,252,355,.710,288,578,866,140,68,192,221,267,1590
1982-83,29,BOS,NBA,C,78,76,2459,619,1125,.550,0,1,.000,619,1124,.551,.550,271,388,.698,260,567,827,141,79,148,185,222,1509
1983-84,30,BOS,NBA,C,80,79,2867,623,1140,.546,0,0,0,623,1140,.546,.546,274,368,.745,243,614,857,139,55,116,184,266,1520
1984-85,31,BOS,NBA,C,79,78,2850,551,1016,.542,0,0,0,551,1016,.542,.542,292,393,.743,263,577,840,125,56,101,186,223,1394
1985-86,32,BOS,NBA,C,81,80,2567,530,966,.549,0,0,0,530,966,.549,.549,245,335,.731,246,524,770,145,65,116,187,215,1305
1986-87,33,BOS,NBA,C,80,80,2995,588,1057,.556,0,1,.000,588,1056,.557,.556,227,309,.735,254,597,851,173,64,144,191,266,1403
1987-88,34,BOS,NBA,C,74,73,2312,442,750,.589,0,1,.000,442,749,.590,.589,177,241,.734,173,455,628,115,55,84,154,198,1061
1988-89,35,BOS,NBA,C,80,80,2840,596,1045,.570,0,0,0,596,1045,.570,.570,294,409,.719,342,654,996,175,79,116,200,209,1486
1989-90,36,BOS,NBA,C,79,78,2396,505,871,.580,0,0,0,505,871,.580,.580,233,312,.747,259,537,796,103,38,69,169,189,1243
1990-91,37,BOS,NBA,C,81,81,2441,485,811,.598,0,1,.000,485,810,.599,.598,237,309,.767,271,585,856,66,66,103,153,197,1207
1991-92,38,BOS,NBA,C,79,79,2285,468,874,.535,0,0,0,468,874,.535,.535,179,232,.772,219,486,705,70,68,97,131,172,1115
1992-93,39,BOS,NBA,C,79,79,2146,416,777,.535,0,0,0,416,777,.535,.535,162,235,.689,246,494,740,61,57,107,120,201,994
1993-94,40,BOS,NBA,C,74,74,1987,356,725,.491,0,0,0,356,725,.491,.491,154,208,.740,141,401,542,82,42,96,108,190,866
1994-95,41,CHH,NBA,C,81,4,1352,159,372,.427,0,0,0,159,372,.427,.427,71,101,.703,93,257,350,44,27,36,66,132,389
1995-96,42,CHH,NBA,C,74,34,1086,120,241,.498,0,0,0,120,241,.498,.498,50,71,.704,89,214,303,29,21,54,50,80,290
1996-97,43,CHI,NBA,C,43,3,406,70,143,.490,0,0,0,70,143,.490,.490,21,31,.677,42,47,89,22,6,19,28,40,161
