Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,KEN,ABA,C,84,0,3666,806,1348,.598,0,0,0,806,1348,.598,.598,391,605,.646,421,1070,1491,230,0,422,335,280,2003
1972-73,23,KEN,ABA,C,84,0,3502,687,1228,.559,1,2,.500,686,1226,.560,.560,368,572,.643,449,1027,1476,295,0,259,286,302,1743
1973-74,24,KEN,ABA,C,84,0,3502,621,1260,.493,0,3,.000,621,1257,.494,.493,326,489,.667,478,1060,1538,329,57,287,319,302,1568
1974-75,25,KEN,ABA,C,84,0,3493,784,1351,.580,1,2,.500,783,1349,.580,.581,412,592,.696,427,934,1361,208,63,258,344,318,1981
1975-76,26,KEN,ABA,C,84,0,3286,773,1401,.552,0,0,0,773,1401,.552,.552,521,764,.682,402,901,1303,211,58,205,295,341,2067
1976-77,27,CHI,NBA,C,82,0,2877,570,1091,.522,0,0,0,570,1091,.522,.522,387,586,.660,313,757,1070,199,44,203,0,266,1527
1977-78,28,CHI,NBA,C,82,0,3067,704,1260,.559,0,0,0,704,1260,.559,.559,471,669,.704,318,753,1071,263,42,181,366,261,1879
1978-79,29,CHI,NBA,C,82,0,3265,753,1310,.575,0,0,0,753,1310,.575,.575,434,587,.739,293,750,1043,274,50,156,310,280,1940
1979-80,30,CHI,NBA,C,48,0,1568,305,513,.595,0,0,0,305,513,.595,.595,245,344,.712,108,324,432,133,29,59,133,167,855
1980-81,31,CHI,NBA,C,82,0,2832,547,816,.670,0,0,0,547,816,.670,.670,375,532,.705,220,608,828,172,47,198,236,295,1469
1981-82,32,CHI,NBA,C,82,82,2796,546,837,.652,1,1,1.000,545,836,.652,.653,424,552,.768,224,611,835,136,49,220,227,287,1517
1982-83,33,SAS,NBA,C,82,82,2797,556,888,.626,0,6,.000,556,882,.630,.626,367,496,.740,299,685,984,126,40,192,254,273,1479
1983-84,34,SAS,NBA,C,64,59,2034,351,556,.631,0,3,.000,351,553,.635,.631,280,390,.718,213,449,662,70,36,132,149,229,982
1984-85,35,SAS,NBA,C,81,81,2756,532,854,.623,0,2,.000,532,852,.624,.623,484,646,.749,231,615,846,131,40,173,241,306,1548
1985-86,36,SAS,NBA,C,71,71,2395,423,684,.618,0,1,.000,423,683,.619,.618,338,482,.701,166,434,600,102,39,108,186,239,1184
1986-87,37,SAS,NBA,C,82,74,2405,346,580,.597,0,0,0,346,580,.597,.597,242,356,.680,185,394,579,150,39,95,178,235,934
1987-88,38,TOT,NBA,C,71,27,893,99,181,.547,0,0,0,99,181,.547,.547,67,128,.523,69,142,211,21,15,30,67,148,265
1987-88,38,CHI,NBA,C,24,23,372,41,80,.513,0,0,0,41,80,.513,.513,19,37,.514,15,48,63,9,5,12,28,54,101
1987-88,38,BOS,NBA,C,47,4,521,58,101,.574,0,0,0,58,101,.574,.574,48,91,.527,54,94,148,12,10,18,39,94,164
