Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,22,SDC,NBA,PF,81,58,2682,554,1056,.525,0,2,.000,554,1054,.526,.525,284,458,.620,211,350,561,146,58,46,220,341,1392
1982-83,23,SDC,NBA,PF,79,79,2665,519,1099,.472,0,8,.000,519,1091,.476,.472,353,488,.723,218,301,519,192,79,57,234,333,1391
1983-84,24,SEA,NBA,PF,82,44,2570,554,1110,.499,0,12,.000,554,1098,.505,.499,375,469,.800,219,313,532,133,47,51,192,309,1483
1984-85,25,SEA,NBA,PF,81,60,2923,629,1302,.483,6,22,.273,623,1280,.487,.485,475,571,.832,164,415,579,209,70,57,260,312,1739
1985-86,26,SEA,NBA,PF,66,26,2019,432,928,.466,13,48,.271,419,880,.476,.473,346,414,.836,126,305,431,132,55,37,194,248,1223
1986-87,27,SEA,NBA,PF,82,82,3018,660,1446,.456,54,145,.372,606,1301,.466,.475,535,630,.849,163,382,545,245,81,50,268,307,1909
1987-88,28,SEA,NBA,PF,82,82,2680,611,1364,.448,33,109,.303,578,1255,.461,.460,419,519,.807,135,355,490,212,87,53,209,297,1674
1988-89,29,PHO,NBA,PF,81,81,3002,774,1643,.471,28,86,.326,746,1557,.479,.480,509,598,.851,143,541,684,231,87,55,231,271,2085
1989-90,30,PHO,NBA,PF,81,81,3046,810,1617,.501,24,86,.279,786,1531,.513,.508,557,647,.861,121,450,571,190,88,47,218,260,2201
1990-91,31,PHO,NBA,PF,76,75,2475,556,1271,.437,20,73,.274,536,1198,.447,.445,379,459,.826,104,386,490,194,65,52,177,235,1511
1991-92,32,PHO,NBA,PF,69,66,1948,426,989,.431,18,49,.367,408,940,.434,.440,258,311,.830,86,315,401,142,57,37,103,196,1128
1992-93,33,PHO,NBA,PF,73,0,1723,320,716,.447,11,28,.393,309,688,.449,.455,241,288,.837,96,249,345,101,43,23,92,212,892
1993-94,34,UTA,NBA,PF,80,0,1838,329,748,.440,14,45,.311,315,703,.448,.449,221,281,.786,87,239,326,79,40,32,89,232,893
1994-95,35,UTA,NBA,PF,81,4,1240,195,427,.457,4,24,.167,191,403,.474,.461,109,135,.807,66,147,213,73,25,30,52,173,503
1995-96,36,Did Not Play(other pro leagueIsrael)
1996-97,37,CHH,NBA,PF,12,5,83,7,31,.226,2,3,.667,5,28,.179,.258,3,4,.750,3,11,14,4,1,0,9,14,19
1997-98,38,PHI,NBA,PF,1,0,10,2,2,1.000,0,0,0,2,2,1.000,1.000,2,2,1.000,0,2,2,0,2,0,1,2,6
