Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,22,TOR,NBA,PG,70,70,2865,481,1129,.426,133,337,.395,348,792,.439,.485,236,296,.797,59,222,281,653,98,19,267,166,1331
1996-97,23,TOR,NBA,PG,81,81,3311,564,1407,.401,176,496,.355,388,911,.426,.463,330,401,.823,86,244,330,709,123,13,288,162,1634
1997-98,24,TOT,NBA,PG,71,71,2839,448,1091,.411,91,304,.299,357,787,.454,.452,238,287,.829,87,211,298,580,113,7,223,150,1225
1997-98,24,TOR,NBA,PG,49,49,2033,354,833,.425,65,205,.317,289,628,.460,.464,179,212,.844,63,154,217,399,80,5,159,112,952
1997-98,24,POR,NBA,PG,22,22,806,94,258,.364,26,99,.263,68,159,.428,.415,59,75,.787,24,57,81,181,33,2,64,38,273
1998-99,25,POR,NBA,PG,50,50,1673,249,629,.396,44,142,.310,205,487,.421,.431,89,122,.730,41,126,167,312,49,4,110,81,631
1999-00,26,POR,NBA,PG,78,78,2372,386,894,.432,80,212,.377,306,682,.449,.477,122,145,.841,61,182,243,405,77,1,149,173,974
2000-01,27,POR,NBA,PG,82,82,2655,406,935,.434,82,219,.374,324,716,.453,.478,172,207,.831,69,234,303,468,106,8,191,202,1066
2001-02,28,POR,NBA,PG,75,71,2796,369,918,.402,104,295,.353,265,623,.425,.459,174,196,.888,78,214,292,490,67,7,149,153,1016
2002-03,29,POR,NBA,PG,59,27,1315,156,415,.376,44,114,.386,112,301,.372,.429,53,67,.791,40,115,155,204,39,6,82,67,409
2003-04,30,POR,NBA,PG,82,82,3118,408,1018,.401,156,427,.365,252,591,.426,.477,127,145,.876,52,256,308,500,99,9,180,173,1099
2004-05,31,POR,NBA,PG,81,70,2762,457,1165,.392,181,490,.369,276,675,.409,.470,182,199,.915,56,254,310,458,86,2,164,158,1277
2005-06,32,MEM,NBA,PG,27,27,862,114,287,.397,36,104,.346,78,183,.426,.460,53,62,.855,23,72,95,128,19,1,55,49,317
2006-07,33,MEM,NBA,PG,62,51,1501,171,437,.391,59,175,.337,112,262,.427,.459,66,83,.795,31,108,139,299,47,2,101,95,467
2007-08,34,TOT,NBA,PG,60,33,1037,120,337,.356,50,149,.336,70,188,.372,.430,27,34,.794,20,98,118,165,30,2,80,76,317
2007-08,34,MEM,NBA,PG,29,29,624,77,194,.397,36,94,.383,41,100,.410,.490,21,26,.808,14,57,71,112,19,0,50,46,211
2007-08,34,SAS,NBA,PG,31,4,413,43,143,.301,14,55,.255,29,88,.330,.350,6,8,.750,6,41,47,53,11,2,30,30,106
