Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,23,DAL,NBA,C,72,68,2087,368,747,.493,0,2,.000,368,745,.494,.493,234,389,.602,196,340,536,95,38,81,160,204,970
1993-94,24,DAL,NBA,C,47,28,1255,193,393,.491,0,1,.000,193,392,.492,.491,150,210,.714,84,175,259,49,21,44,80,109,536
1994-95,25,MIN,NBA,C,80,70,2405,289,615,.470,0,5,.000,289,610,.474,.470,290,381,.761,165,321,486,97,29,71,142,208,868
1995-96,26,TOT,NBA,C,65,7,1117,144,285,.505,1,7,.143,143,278,.514,.507,135,202,.668,81,174,255,47,23,42,80,141,424
1995-96,26,MIN,NBA,C,49,7,902,112,227,.493,1,6,.167,111,221,.502,.496,106,159,.667,60,144,204,38,19,28,49,106,331
1995-96,26,ATL,NBA,C,16,0,215,32,58,.552,0,1,.000,32,57,.561,.552,29,43,.674,21,30,51,9,4,14,31,35,93
1996-97,27,LAL,NBA,C,69,3,735,87,185,.470,0,1,.000,87,184,.473,.470,91,130,.700,56,107,163,42,17,38,51,123,265
1997-98,28,LAL,NBA,C,41,1,425,46,101,.455,0,0,0,46,101,.455,.455,47,79,.595,46,72,118,24,2,23,19,68,139
1998-99,29,LAL,NBA,C,36,0,315,32,79,.405,0,2,.000,32,77,.416,.405,34,48,.708,33,39,72,9,2,9,21,61,98
1999-00,30,DAL,NBA,C,71,13,1001,122,283,.431,0,0,0,122,283,.431,.431,65,89,.730,82,166,248,68,29,52,70,169,309
2000-01,31,LAC,NBA,C,82,0,1553,169,395,.428,1,2,.500,168,393,.427,.429,107,143,.748,91,212,303,77,34,64,73,197,446
2001-02,32,LAC,NBA,C,61,2,728,81,194,.418,0,0,0,81,194,.418,.418,21,29,.724,32,92,124,25,12,21,20,114,183
2002-03,33,LAC,NBA,C,70,38,1344,125,297,.421,0,1,.000,125,296,.422,.421,47,58,.810,53,163,216,69,34,44,66,174,297
2003-04,34,TOT,NBA,C,55,0,595,54,151,.358,0,1,.000,54,150,.360,.358,33,37,.892,24,73,97,29,14,10,22,89,141
2003-04,34,NOH,NBA,C,35,0,325,34,94,.362,0,0,0,34,94,.362,.362,12,15,.800,10,40,50,11,9,5,15,48,80
2003-04,34,ORL,NBA,C,20,0,270,20,57,.351,0,1,.000,20,56,.357,.351,21,22,.955,14,33,47,18,5,5,7,41,61
