Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,21,PHI,NBA,PG,76,74,3045,625,1504,.416,155,455,.341,470,1049,.448,.467,382,544,.702,115,197,312,567,157,24,337,233,1787
1997-98,22,PHI,NBA,PG,80,80,3150,649,1407,.461,70,235,.298,579,1172,.494,.486,390,535,.729,86,210,296,494,176,25,244,200,1758
1998-99,23,PHI,NBA,SG,48,48,1990,435,1056,.412,58,199,.291,377,857,.440,.439,356,474,.751,66,170,236,223,110,7,167,98,1284
1999-00,24,PHI,NBA,SG,70,70,2853,729,1733,.421,89,261,.341,640,1472,.435,.446,442,620,.713,71,196,267,328,144,5,230,162,1989
2000-01,25,PHI,NBA,SG,71,71,2979,762,1813,.420,98,306,.320,664,1507,.441,.447,585,719,.814,50,223,273,325,178,20,237,147,2207
2001-02,26,PHI,NBA,SG,60,59,2622,665,1669,.398,78,268,.291,587,1401,.419,.422,475,585,.812,44,225,269,331,168,13,237,102,1883
2002-03,27,PHI,NBA,SG,82,82,3485,804,1940,.414,84,303,.277,720,1637,.440,.436,570,736,.774,68,276,344,454,225,13,286,149,2262
2003-04,28,PHI,NBA,SG,48,47,2040,435,1125,.387,57,199,.286,378,926,.408,.412,339,455,.745,34,144,178,324,115,5,209,87,1266
2004-05,29,PHI,NBA,PG,75,75,3174,771,1818,.424,104,338,.308,667,1480,.451,.453,656,786,.835,51,248,299,596,180,9,344,140,2302
2005-06,30,PHI,NBA,PG,72,72,3103,815,1822,.447,72,223,.323,743,1599,.465,.467,675,829,.814,44,188,232,532,140,10,248,121,2377
2006-07,31,TOT,NBA,SG-PG,65,64,2761,581,1313,.442,62,197,.315,519,1116,.465,.466,485,610,.795,23,170,193,468,123,13,268,95,1709
2006-07,31,PHI,NBA,PG,15,15,640,151,366,.413,12,53,.226,139,313,.444,.429,154,174,.885,7,34,41,109,33,1,66,21,468
2006-07,31,DEN,NBA,SG,50,49,2121,430,947,.454,50,144,.347,380,803,.473,.480,331,436,.759,16,136,152,359,90,12,202,74,1241
2007-08,32,DEN,NBA,SG,82,82,3424,712,1556,.458,95,275,.345,617,1281,.482,.488,645,797,.809,47,196,243,586,160,12,245,109,2164
2008-09,33,TOT,NBA,PG-SG,57,53,2093,348,834,.417,28,99,.283,320,735,.435,.434,271,347,.781,30,143,173,283,88,6,146,86,995
2008-09,33,DEN,NBA,SG,3,3,123,18,40,.450,2,8,.250,16,32,.500,.475,18,25,.720,3,5,8,20,3,1,10,3,56
2008-09,33,DET,NBA,PG,54,50,1970,330,794,.416,26,91,.286,304,703,.432,.432,253,322,.786,27,138,165,263,85,5,136,83,939
2009-10,34,TOT,NBA,SG-PG,28,24,865,136,316,.430,9,25,.360,127,291,.436,.445,104,131,.794,16,63,79,113,19,2,64,48,385
2009-10,34,MEM,NBA,PG,3,0,67,15,26,.577,1,1,1.000,14,25,.560,.596,6,12,.500,1,3,4,11,1,0,7,5,37
2009-10,34,PHI,NBA,SG,25,24,798,121,290,.417,8,24,.333,113,266,.425,.431,98,119,.824,15,60,75,102,18,2,57,43,348
