Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,25,PHO,NBA,SF,75,0,2309,657,1166,.563,0,4,.000,657,1162,.565,.563,299,365,.819,75,197,272,337,114,19,242,202,1613
1980-81,26,PHO,NBA,SG,78,0,2182,593,1101,.539,7,17,.412,586,1084,.541,.542,209,250,.836,63,137,200,302,97,12,222,192,1402
1981-82,27,PHO,NBA,SF,55,12,1182,350,669,.523,3,16,.188,347,653,.531,.525,91,111,.820,21,82,103,162,46,3,112,104,794
1982-83,28,PHO,NBA,SG,80,79,2491,665,1289,.516,7,23,.304,658,1266,.520,.519,184,225,.818,63,134,197,397,117,12,188,186,1521
1983-84,29,PHO,NBA,SG,78,70,2546,652,1274,.512,20,87,.230,632,1187,.532,.520,233,270,.863,38,164,202,429,107,12,213,202,1557
1985-86,31,PHO,NBA,SG,70,62,2239,624,1287,.485,18,76,.237,606,1211,.500,.492,257,305,.843,54,149,203,361,99,3,219,153,1523
1986-87,32,PHO,NBA,SG,79,79,2646,779,1515,.514,21,81,.259,758,1434,.529,.521,288,334,.862,90,154,244,364,96,5,226,184,1867
1987-88,33,PHO,NBA,SF,68,48,1951,488,1031,.473,36,96,.375,452,935,.483,.491,205,231,.887,32,127,159,278,86,3,126,131,1217
1988-89,34,DEN,NBA,SG,81,0,1857,536,1076,.498,20,69,.290,516,1007,.512,.507,175,199,.879,41,110,151,190,72,5,132,187,1267
1989-90,35,DEN,NBA,SG,69,0,1635,497,1033,.481,6,46,.130,491,987,.497,.484,207,227,.912,46,133,179,155,59,9,102,160,1207
1990-91,36,TOT,NBA,SG,71,14,1483,403,862,.468,11,36,.306,392,826,.475,.474,107,117,.915,71,110,181,125,80,3,88,150,924
1991-92,37,DEN,NBA,SF,46,0,741,185,403,.459,5,16,.313,180,387,.465,.465,82,94,.872,20,50,70,68,29,1,45,69,457
