Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,22,CHI,NBA,SF,79,0,1650,261,564,.463,4,23,.174,257,541,.475,.466,99,172,.576,115,183,298,169,91,52,131,214,625
1988-89,23,CHI,NBA,SF,73,56,2413,413,867,.476,21,77,.273,392,790,.496,.488,201,301,.668,138,307,445,256,139,61,199,261,1048
1989-90,24,CHI,NBA,SF,82,82,3148,562,1150,.489,28,112,.250,534,1038,.514,.501,199,295,.675,150,397,547,444,211,101,278,298,1351
1990-91,25,CHI,NBA,SF,82,82,3014,600,1153,.520,21,68,.309,579,1085,.534,.529,240,340,.706,163,432,595,511,193,93,232,270,1461
1991-92,26,CHI,NBA,SF,82,82,3164,687,1359,.506,16,80,.200,671,1279,.525,.511,330,434,.760,185,445,630,572,155,93,253,242,1720
1992-93,27,CHI,NBA,SF,81,81,3123,628,1327,.473,22,93,.237,606,1234,.491,.482,232,350,.663,203,418,621,507,173,73,246,219,1510
1993-94,28,CHI,NBA,SF,72,72,2759,627,1278,.491,63,197,.320,564,1081,.522,.515,270,409,.660,173,456,629,403,211,58,232,227,1587
1994-95,29,CHI,NBA,SF,79,79,3014,634,1320,.480,109,316,.345,525,1004,.523,.522,315,440,.716,175,464,639,409,232,89,271,238,1692
1995-96,30,CHI,NBA,SF,77,77,2825,563,1216,.463,150,401,.374,413,815,.507,.525,220,324,.679,152,344,496,452,133,57,207,198,1496
1996-97,31,CHI,NBA,SF,82,82,3095,648,1366,.474,156,424,.368,492,942,.522,.531,204,291,.701,160,371,531,467,154,45,214,213,1656
1997-98,32,CHI,NBA,SF,44,44,1652,315,704,.447,61,192,.318,254,512,.496,.491,150,193,.777,53,174,227,254,79,43,109,116,841
1998-99,33,HOU,NBA,SF,50,50,2011,261,604,.432,72,212,.340,189,392,.482,.492,132,183,.721,63,260,323,293,98,37,159,118,726
1999-00,34,POR,NBA,SF,82,82,2749,388,860,.451,86,263,.327,302,597,.506,.501,160,223,.717,114,399,513,406,117,41,208,208,1022
2000-01,35,POR,NBA,SF,64,60,2133,269,596,.451,64,186,.344,205,410,.500,.505,119,161,.739,70,263,333,294,94,35,154,158,721
2001-02,36,POR,NBA,SF,62,60,1996,246,599,.411,54,177,.305,192,422,.455,.456,113,146,.774,77,244,321,363,101,35,171,162,659
2002-03,37,POR,NBA,SF,64,58,1911,265,597,.444,38,133,.286,227,464,.489,.476,121,148,.818,57,221,278,285,105,25,164,149,689
2003-04,38,CHI,NBA,SF,23,6,412,53,140,.379,13,48,.271,40,92,.435,.425,17,27,.630,20,48,68,50,21,9,29,38,136
