Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,22,PHO,NBA,PF,80,0,1186,227,436,.521,0,1,.000,227,435,.522,.521,75,117,.641,95,161,256,82,42,71,104,169,529
1982-83,23,PHO,NBA,PF,82,82,2914,588,1069,.550,1,3,.333,587,1066,.551,.551,193,287,.672,239,471,710,197,99,217,190,254,1370
1983-84,24,PHO,NBA,PF,82,82,2899,601,1044,.576,0,7,.000,601,1037,.580,.576,249,352,.707,227,451,678,214,86,174,177,274,1451
1984-85,25,PHO,NBA,PF,61,55,2202,515,877,.587,1,2,.500,514,875,.587,.588,180,254,.709,195,341,536,159,88,104,136,185,1211
1985-86,26,PHO,NBA,PF,73,69,2484,582,1001,.581,0,8,.000,582,993,.586,.581,310,444,.698,169,449,618,240,70,130,210,247,1474
1986-87,27,PHO,NBA,PF,69,67,2569,585,1062,.551,1,5,.200,584,1057,.553,.551,381,493,.773,188,411,599,233,86,148,149,223,1552
1987-88,28,TOT,NBA,PF,67,60,2383,487,920,.529,2,6,.333,485,914,.531,.530,304,390,.779,193,414,607,207,63,159,155,242,1280
1987-88,28,PHO,NBA,PF,40,34,1477,327,616,.531,2,5,.400,325,611,.532,.532,187,249,.751,119,275,394,123,45,96,106,152,843
1987-88,28,CLE,NBA,PF,27,26,906,160,304,.526,0,1,.000,160,303,.528,.526,117,141,.830,74,139,213,84,18,63,49,90,437
1988-89,29,CLE,NBA,PF,73,72,2526,496,920,.539,0,4,.000,496,916,.541,.539,267,334,.799,156,425,581,159,57,206,117,186,1259
1989-90,30,CLE,NBA,PF,62,53,2065,412,807,.511,1,1,1.000,411,806,.510,.511,186,239,.778,162,354,516,161,54,122,110,185,1011
1990-91,31,CLE,NBA,PF,80,78,2927,635,1211,.524,2,8,.250,633,1203,.526,.525,265,330,.803,201,485,686,237,66,200,131,219,1537
1991-92,32,CLE,NBA,PF,81,81,2880,556,1032,.539,0,6,.000,556,1026,.542,.539,263,320,.822,213,457,670,232,80,243,87,200,1375
1992-93,33,CLE,NBA,PF,77,77,2753,533,971,.549,0,4,.000,533,967,.551,.549,202,247,.818,184,484,668,223,54,198,107,223,1268
1993-94,34,CLE,NBA,PF,33,19,909,153,314,.487,0,0,0,153,314,.487,.487,64,85,.753,77,150,227,49,27,55,38,96,370
