Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,23,SAS,NBA,SG,79,36,2065,357,827,.432,32,129,.248,325,698,.466,.451,181,243,.745,49,153,202,301,86,8,178,136,927
1989-90,24,TOT,NBA,SG,79,12,1987,275,627,.439,28,105,.267,247,522,.473,.461,136,211,.645,50,178,228,296,84,10,143,148,714
1989-90,24,SAS,NBA,SG,49,2,1118,133,306,.435,15,52,.288,118,254,.465,.459,59,95,.621,35,106,141,146,42,5,71,79,340
1989-90,24,HOU,NBA,SG,30,10,869,142,321,.442,13,53,.245,129,268,.481,.463,77,116,.664,15,72,87,150,42,5,72,69,374
1990-91,25,HOU,NBA,SG,82,79,2870,504,1247,.404,172,510,.337,332,737,.450,.473,217,296,.733,41,197,238,303,127,15,171,179,1397
1991-92,26,HOU,NBA,SG,80,80,2700,502,1216,.413,162,473,.342,340,743,.458,.479,206,267,.772,37,206,243,326,104,28,178,200,1372
1992-93,27,HOU,NBA,SG,71,68,2251,349,858,.407,120,361,.332,229,497,.461,.477,164,228,.719,29,192,221,297,86,8,140,124,982
1993-94,28,HOU,NBA,SG,75,73,2571,380,976,.389,120,403,.298,260,573,.454,.451,143,191,.749,42,187,229,380,125,20,185,143,1023
1994-95,29,HOU,NBA,SG,64,54,2038,306,777,.394,143,441,.324,163,336,.485,.486,99,144,.688,18,146,164,274,75,13,137,157,854
1995-96,30,PHI,NBA,PG,75,57,2467,410,1052,.390,146,460,.317,264,592,.446,.459,251,332,.756,39,190,229,330,96,12,215,182,1217
1996-97,31,SAS,NBA,SG,72,31,2068,340,906,.375,115,372,.309,225,534,.421,.439,134,180,.744,27,132,159,153,87,19,121,168,929
1997-98,32,TOT,NBA,SG,42,0,636,103,258,.399,37,112,.330,66,146,.452,.471,48,60,.800,14,43,57,52,16,4,40,71,291
1997-98,32,ORL,NBA,SG,11,0,169,26,78,.333,6,26,.231,20,52,.385,.372,23,26,.885,5,8,13,12,2,1,12,20,81
1997-98,32,CHH,NBA,SG,31,0,467,77,180,.428,31,86,.360,46,94,.489,.514,25,34,.735,9,35,44,40,14,3,28,51,210
1998-99,33,SAC,NBA,SG,46,1,1007,164,421,.390,80,231,.346,84,190,.442,.485,84,114,.737,13,72,85,76,30,3,67,111,492
1999-00,34,SEA,NBA,SG,47,0,989,169,490,.345,67,223,.300,102,267,.382,.413,108,148,.730,15,64,79,75,38,9,53,83,513
2000-01,35,TOT,NBA,PG,43,6,660,73,223,.327,34,111,.306,39,112,.348,.404,21,32,.656,4,62,66,49,21,3,35,64,201
2000-01,35,PHI,NBA,PG,24,6,375,42,125,.336,21,64,.328,21,61,.344,.420,15,22,.682,3,34,37,29,12,0,18,33,120
2000-01,35,DAL,NBA,PG,19,0,285,31,98,.316,13,47,.277,18,51,.353,.383,6,10,.600,1,28,29,20,9,3,17,31,81
