Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,22,POR,NBA,C,35,0,1153,177,345,.513,0,0,0,177,345,.513,.513,94,137,.686,92,349,441,167,29,94,0,115,448
1975-76,23,POR,NBA,C,51,0,1687,345,732,.471,0,0,0,345,732,.471,.471,133,228,.583,132,549,681,220,49,82,0,144,823
1976-77,24,POR,NBA,C,65,0,2264,491,930,.528,0,0,0,491,930,.528,.528,228,327,.697,211,723,934,245,66,211,0,174,1210
1977-78,25,POR,NBA,C,58,0,1929,460,882,.522,0,0,0,460,882,.522,.522,177,246,.720,118,648,766,291,60,146,206,145,1097
1978-79,26,Did Not Play(injuryfoot)
1979-80,27,SDC,NBA,C,14,0,337,81,161,.503,0,0,0,81,161,.503,.503,32,54,.593,28,98,126,34,8,38,37,37,194
1980-81,28,Did Not Play(injuryfoot)
1981-82,29,Did Not Play(injuryfoot)
1982-83,30,SDC,NBA,C,33,32,1099,200,379,.528,0,0,0,200,379,.528,.528,65,117,.556,75,248,323,120,34,119,105,113,465
1983-84,31,SDC,NBA,C,55,46,1476,288,518,.556,0,2,.000,288,516,.558,.556,92,154,.597,132,345,477,183,45,88,177,153,668
1984-85,32,LAC,NBA,C,67,37,1647,269,516,.521,0,2,.000,269,514,.523,.521,138,203,.680,168,432,600,156,50,140,174,184,676
1985-86,33,BOS,NBA,C,80,2,1546,231,411,.562,0,0,0,231,411,.562,.562,144,202,.713,136,408,544,165,38,106,151,210,606
1986-87,34,BOS,NBA,C,10,0,112,10,26,.385,0,0,0,10,26,.385,.385,8,15,.533,11,20,31,9,1,10,15,23,28
