Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,22,POR,NBA,SG,79,4,1599,189,428,.442,20,76,.263,169,352,.480,.465,128,160,.800,18,142,160,219,41,2,102,138,526
2006-07,23,POR,NBA,PG,79,79,2651,320,705,.454,63,180,.350,257,525,.490,.499,243,279,.871,18,190,208,417,86,9,187,202,946
2007-08,24,POR,NBA,SG,82,16,2229,267,620,.431,65,190,.342,202,430,.470,.483,215,248,.867,31,203,234,313,61,1,178,129,814
2008-09,25,IND,NBA,SG,82,53,2716,386,853,.453,78,221,.353,308,632,.487,.498,224,263,.852,44,232,276,338,88,17,184,179,1074
2009-10,26,TOR,NBA,PG,82,43,2243,323,671,.481,82,199,.412,241,472,.511,.542,203,241,.842,30,192,222,413,60,6,163,151,931
2010-11,27,TOT,NBA,SG-PG,83,15,1722,260,637,.408,33,108,.306,227,529,.429,.434,182,214,.850,20,153,173,242,54,6,110,102,735
2010-11,27,TOR,NBA,PG,13,13,347,48,122,.393,4,24,.167,44,98,.449,.410,40,46,.870,6,36,42,59,14,0,34,25,140
2010-11,27,NOH,NBA,SG,70,2,1375,212,515,.412,29,84,.345,183,431,.425,.440,142,168,.845,14,117,131,183,40,6,76,77,595
2011-12,28,NOH,NBA,PG,45,39,1530,266,583,.456,39,112,.348,227,471,.482,.490,129,148,.872,23,153,176,285,31,9,106,93,700
2012-13,29,GSW,NBA,SG,79,4,2349,387,857,.452,82,203,.404,305,654,.466,.499,167,198,.843,21,222,243,439,60,11,157,134,1023
2013-14,30,CLE,NBA,PG,80,31,2252,286,698,.410,63,185,.341,223,513,.435,.455,125,149,.839,22,201,223,324,56,22,133,133,760
2014-15,31,BRK,NBA,PG,80,27,2241,359,817,.439,39,146,.267,320,671,.477,.463,200,227,.881,19,226,245,373,75,13,191,143,957
