Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,21,BUF,NBA,PF,80,0,2562,585,1293,.452,0,0,0,585,1293,.452,.452,271,350,.774,0,0,728,139,0,0,0,256,1441
1973-74,22,BUF,NBA,C,74,0,3185,901,1647,.547,0,0,0,901,1647,.547,.547,459,579,.793,281,836,1117,170,88,246,0,252,2261
1974-75,23,BUF,NBA,C,82,0,3539,1095,2138,.512,0,0,0,1095,2138,.512,.512,641,796,.805,307,848,1155,179,92,174,0,278,2831
1975-76,24,BUF,NBA,C,78,0,3328,934,1918,.487,0,0,0,934,1918,.487,.487,559,734,.762,241,724,965,315,93,160,0,298,2427
1976-77,25,TOT,NBA,C,72,0,2798,740,1445,.512,0,0,0,740,1445,.512,.512,381,516,.738,199,727,926,205,77,99,0,262,1861
1976-77,25,BUF,NBA,C,20,0,767,182,400,.455,0,0,0,182,400,.455,.455,110,158,.696,66,198,264,65,16,34,0,74,474
1976-77,25,NYK,NBA,C,52,0,2031,558,1045,.534,0,0,0,558,1045,.534,.534,271,358,.757,133,529,662,140,61,65,0,188,1387
1977-78,26,NYK,NBA,C,79,0,3182,814,1564,.520,0,0,0,814,1564,.520,.520,469,645,.727,236,774,1010,298,105,126,346,297,2097
1978-79,27,TOT,NBA,PF-C,60,0,2231,596,1127,.529,0,0,0,596,1127,.529,.529,295,450,.656,130,390,520,168,74,67,217,189,1487
1978-79,27,NYK,NBA,PF,40,0,1594,429,793,.541,0,0,0,429,793,.541,.541,218,335,.651,94,285,379,128,62,47,153,134,1076
1978-79,27,BOS,NBA,C,20,0,637,167,334,.500,0,0,0,167,334,.500,.500,77,115,.670,36,105,141,40,12,20,64,55,411
1979-80,28,DET,NBA,PF,58,0,2097,492,1025,.480,3,24,.125,489,1001,.489,.481,235,322,.730,100,367,467,200,73,65,238,178,1222
1980-81,29,TOT,NBA,PF,16,0,321,68,157,.433,0,1,.000,68,156,.436,.433,29,41,.707,17,50,67,30,17,13,32,38,165
1980-81,29,DET,NBA,PF,6,0,168,30,82,.366,0,0,0,30,82,.366,.366,12,20,.600,9,32,41,20,8,7,18,16,72
1980-81,29,NJN,NBA,PF,10,0,153,38,75,.507,0,1,.000,38,74,.514,.507,17,21,.810,8,18,26,10,9,6,14,22,93
1981-82,30,LAL,NBA,C,41,0,746,151,330,.458,0,5,.000,151,325,.465,.458,90,126,.714,45,114,159,32,22,36,51,109,392
1982-83,31,LAL,NBA,C,47,1,1019,292,562,.520,0,1,.000,292,561,.520,.520,119,163,.730,76,171,247,39,40,40,68,153,703
1983-84,32,LAL,NBA,C,70,0,1456,352,748,.471,0,5,.000,352,743,.474,.471,212,264,.803,82,207,289,74,42,50,127,182,916
1984-85,33,LAL,NBA,C,66,0,1254,284,546,.520,0,1,.000,284,545,.521,.520,122,162,.753,79,216,295,67,18,53,95,170,690
1985-86,34,PHI,NBA,C,29,0,609,116,251,.462,0,0,0,116,251,.462,.462,62,81,.765,25,78,103,35,10,18,49,64,294
