Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993-94,22,MIL,NBA,C,82,63,2560,435,869,.501,1,5,.200,434,864,.502,.501,234,411,.569,277,344,621,163,60,114,162,231,1105
1994-95,23,MIL,NBA,PF,82,82,3361,594,1229,.483,7,24,.292,587,1205,.487,.486,256,432,.593,289,557,846,296,86,116,221,277,1451
1995-96,24,MIL,NBA,PF,82,82,3319,699,1429,.489,10,48,.208,689,1381,.499,.493,321,479,.670,263,545,808,212,68,91,216,272,1729
1996-97,25,MIL,NBA,PF,78,78,3159,632,1251,.505,15,54,.278,617,1197,.515,.511,358,521,.687,267,537,804,211,81,112,245,275,1637
1997-98,26,SEA,NBA,C,82,82,2944,631,1164,.542,1,7,.143,630,1157,.545,.543,311,526,.591,286,370,656,152,91,86,174,278,1574
1998-99,27,SEA,NBA,PF,34,31,1162,198,437,.453,0,3,.000,198,434,.456,.453,72,160,.450,86,125,211,56,32,34,76,121,468
1999-00,28,SEA,NBA,C,79,75,2849,514,1129,.455,2,8,.250,512,1121,.457,.456,281,412,.682,227,378,605,148,47,66,213,288,1311
2000-01,29,SEA,NBA,PF,76,27,2129,347,822,.422,1,16,.063,346,806,.429,.423,232,321,.723,179,251,430,90,38,73,158,264,927
2001-02,30,SEA,NBA,C,55,41,1710,315,649,.485,1,8,.125,314,641,.490,.486,143,226,.633,168,182,350,72,22,36,127,197,774
2002-03,31,BOS,NBA,C,52,9,942,99,207,.478,0,4,.000,99,203,.488,.478,72,107,.673,90,108,198,29,22,30,61,146,270
2003-04,32,TOT,NBA,PF,54,33,1313,208,432,.481,1,3,.333,207,429,.483,.483,114,157,.726,112,168,280,66,29,32,77,160,531
2003-04,32,BOS,NBA,PF,37,33,1000,168,333,.505,0,1,.000,168,332,.506,.505,82,112,.732,76,134,210,54,22,23,52,98,418
2003-04,32,NYK,NBA,PF,17,0,313,40,99,.404,1,2,.500,39,97,.402,.409,32,45,.711,36,34,70,12,7,9,25,62,113
2004-05,33,TOT,NBA,PF-C,27,0,204,13,42,.310,0,1,.000,13,41,.317,.310,9,17,.529,17,22,39,10,2,4,17,38,35
2004-05,33,NYK,NBA,PF,24,0,191,13,38,.342,0,1,.000,13,37,.351,.342,7,15,.467,17,20,37,9,2,4,15,31,33
2004-05,33,HOU,NBA,C,3,0,13,0,4,.000,0,0,0,0,4,.000,.000,2,2,1.000,0,2,2,1,0,0,2,7,2
2005-06,34,LAC,NBA,C,8,1,85,7,15,.467,0,0,0,7,15,.467,.467,13,18,.722,2,17,19,4,4,4,9,13,27
